,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary_Data,Max_Salary,Min_Salary,Average_Salary,Age of the company in years,AWS,Modeling,Equity,SQL,Fintech,python,Risk,Consulting,Excel,Type,Seniority_Status
3122,Strats - Quantitative Analyst,"£46K-£96K
(Glassdoor Est.)","Strats - Quantitative Analyst


Job title: Strats – Quantitative Analyst
Reports to: Head of Strats
Contract: Permanent

Responsibilities:

Strategists occupy the intersection of finance, markets, maths, computer science, and programming. Working side by side with the firm’s trading, sales, banking and investment management professionals, members of the business unit use their mathematical and scientific training to create financial products, advise clients on transactions, measure risk and identify market opportunities.

Our quantitative analysts focus on the pricing and
risk management of complex transactions, ranging from pension fund buyout
trades to exotic assets and derivatives. We are looking for some who can work
on a large project, develop cutting edge analytics, and implement production
quality pricing, analysis and risk management systems.

In their daily work, Strats work closely with our traders and structuring teams, analysing trades and asset origination opportunities for execution and ongoing measurement and management. This emphasis on advanced financial mathematics and a highly analytical approach as an integral part of the risk management of the firm distinguishes Rothesay Life from many of its competitors. In general, we are looking for smart, quantitative, commercial, problem-solving-oriented, “get-things-done” candidates with the skills to deliver robust, high performance software and quantitative analyses and with either experience in financial markets or a keen interest to learn about them.

Skills and Experience:

Required:

margin-left:18.0pt;text-indent:-18.0pt"">=
Advanced quantitative skills (typically evidenced by a degree in maths,
physics, computer science, engineering, etc.)

margin-left:18.0pt;text-indent:-18.0pt"">=
Excellence in applied programming skills - Python, C, C++ or other major
languages.

Preferred:

=
Knowledge of financial mathematics and stochastic
calculus.

=
Understanding of Fixed Income products and
derivatives.

=
Experience in creating and validating pricing and/or risk models
for use in a financial services organisation

Competencies
Technical Skills - Demonstrates strong technical skills required for the role, pays attention to detail, takes initiative to broaden his/her knowledge and demonstrates appropriate analytical skills
Drive and Motivation – Be a self-starter; successfully handles multiple tasks, takes initiative to improve his/her own performance, works intensely towards extremely challenging goals and persists in the face of obstacles or setbacks
Client and Business Focus - Effectively handles difficult requests, builds trusting, long-term relationships with clients and service providers, helps the client to identify/define needs and manages client/business expectations
Teamwork – Demonstrate evidence of being a strong team player, collaborates with others within and across teams, encourages other team members to participate and contribute and acknowledges others' contributions
Communication Skills - Communicates what is relevant and important in a clear and concise manner and shares information/new ideas with others
Judgement and Problem solving - Thinks ahead, anticipates questions, plans for contingencies, finds alternative solutions and identifies clear objectives. Sees the big picture and effectively analyses complex issues
Creativity/Innovation - Looks for new ways to improve current processes and develop creative solutions that are grounded in reality and have practical value
Influencing Outcomes - Presents sound, persuasive rationale for ideas or opinions. Takes a position on issues and influences others' opinions and presents persuasive recommendations

If you would like to understand how we will process your data
should you apply to Rothesay Life, information can be found here: https://www.rothesaylife.com/media/1324/april-2019-ja-pn.pdf",4.8,Rothesay Life,"London, England","London, United Kingdom",201 to 500 employees,2007.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,Unsure,"46000-96000
",46000,96000,71000.0,13.0,0,0,0,0,0,1,1,0,1,quantitative analyst,Junior Status
3136,Business Analyst,"£39K-£41K
(Glassdoor Est.)","Started in 2000, Efficio is a specialist management consultancy, focused on procurement and supply chain improvement programmes. There are currently c.450 employees globally, with exciting plans to grow rapidly in the next 18 months. We are a truly international organisation with over 30 different languages spoken. The firm places a high value on its employees and offers great training and development opportunities, to help with career progression. Our consultants return to their home office each Friday from their client engagement to spend time with their colleagues and attend training courses.
Description Given the growth that Efficio is going through, we are looking for Business Analysts (BAs) in various locations to provide support to project teams working on consulting assignments. Business Analysts roles are targeted at graduate entry level candidates and are the first step into management consulting. Although based out of our office in Piccadilly Circus, London, our BAs might, from time to time, be required to be on client site up to 4 days a week, depending on project needs. Because of this, flexibility to travel is essential.

Working under the guidance of an experienced consultant, their key role is to collect, analyse and synthesise large data sets from a variety of sources, mastering the use of Excel and SQL. The insights and understandings from their analysis provide important inputs to the project team's recommendations and solutions.

BAs also provide input to client presentations, and work alongside the digital team to support the day-to-day delivery of projects - for example, they may assist with developing and issuing RFPs and evaluating proposals from suppliers via eFlow, as well as utilising Tableau to visualise the results of various analyses and support the project team in presenting the data in the most effective way. They interact with clients and their suppliers as needed.

BAs are typically involved in client facing projects at client sites from day one, so they need to be able to learn fast and get up to speed quickly and work effectively under pressure. BAs must be able to work independently, while also being team players who are willing to contribute wherever needed to ensure the success of the project. The ability to prioritise their work effectively in the face of sometimes competing demands is also essential.

BAs are expected to challenge existing ways of doing things and suggest new ideas. However, they are also expected to be able to justify their conclusions and recommendations with relevant experience and rigorous, fact-based analysis.

Efficio has a collaborative, supportive culture where performance is recognised and success is celebrated. BAs are supported to continually develop their skills and expertise through a comprehensive training and development programme including formal training (through the Efficio Academy), on-the-job training, and coaching and mentoring from experienced consultants and Efficio executives. The opportunities and support that come from a role as an Efficio BA make it an unmatched springboard into a top-tier consulting career.
Essential Requirements • An exemplary academic background; preferably with a top degree in Engineering, Science, Business, or Economics

• Another European language (in addition to English) or Arabic, is highly desirable

• Must have the right to work in the country in which you are applying
Desirable Requirements • Strong analytical skills and problem solving ability

• Ability to isolate key issues and draw sound conclusions

• Proficiency in the use of Excel and PowerPoint

• Proactive, enquiring approach

• Strong communicator with the ability to influence stakeholders",4.2,Efficio,"London, England","London, United Kingdom",201 to 500 employees,2000.0,Company - Private,Consulting,Business Services,£50 to £100 million (GBP),"Kearney, McKinsey & Company, Bain & Company","39000-41000
",39000,41000,40000.0,20.0,0,0,0,1,0,0,0,1,1,business analyst,Junior Status
3152,Research Analyst,"£24K-£30K
(Glassdoor Est.)","Our research division FXC Intelligence is looking for a research analyst to expand our custom research efforts and produce content related to the payments, FX, and financial service industry.
Role description
This role will have two primary functions: first, conducting desk research into trends and companies within the financial services space to populate our online data portal; second, helping produce FXC Intelligence’s weekly newsletter and other custom research reports. This role has significant room for growth and expansion as all content and research work is currently being split between other employees.

FXC Intelligence is a growing startup in the FinTech space - we will provide plenty of training and support but once up to speed you will be encouraged to make this role your own!

Requirements
Ability to synthesize disparate data into concise written reports
Familiar with both qualitative and quantitative data
Demonstrated analytical ability
Ability to produce work within tight deadlines
Excellent English
Responsibilities
Producing written intelligence reports about trends within the payments and financial services industry
Helping write, source content for, and edit a weekly newsletter
Supporting our data science and product team with ad hoc desk research
Generating new ideas for content and marketing
Nice to have
Data journalism, financial / equity research, or other quantitative research experience
Experience with data manipulation using Python, Matlab, Stata, etc.
Experience working in payments, finance or FinTech
What we offer
Competitive salary & incentive schemes
Fantastic benefits package
Regular team outings and events
Relaxed dress code
Tailored personal development program
Use of a Mac laptop
If you are interested in this opportunity, please get in touch.",5.0,FXcompared,"London, England","New York, NY",1 to 50 employees,2009.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"money.co.uk, Moneysupermarket Group, Western Union","24000-30000
",24000,30000,27000.0,11.0,0,0,1,0,1,1,0,0,1,Unspesified Analyst,Junior Status
3184,Pricing Analyst,"£29K-£33K
(Glassdoor Est.)","Why is this your next step?
Worldpay is the global leader in the payments industry. Our client base includes some of the largest online retail merchants operating in the global economy. We are looking for a Pricing Analyst to join the e-commerce pricing team whose remit it is to develop the pricing strategy, pricing models/governance and commercial pricing initiatives.

How you will contribute?
Operating as a commercial business partner, you will conduct pricing analysis providing recommendations on market conditions to support and contribute to the e-commerce strategy.
You will conduct profitability, price sensitivity, risk and scenario analysis and work on opportunities for price optimisation. You will carry out pricing projects and initiatives to generate incremental revenue for the business.
You will support the sales force in assisting with their queries on pricing policy and the pricing model

Why you?
You will have had exposure to a business environment – preferably financial setting (FP&A, pricing, etc.) but aren’t going to set the bar high for experience level
Strong numerical skills are essential so a degree in maths, economics or a finance will be advantageous. Blending communication and influencing skills you should be comfortable engaging with a wide range of business areas whether via email or in face to face discussions/presentations.
You will be a self-starter; curious nature and eager to learn; energetic personality and a confident speak and communicator.
It is desirable that you have FP&A or Pricing experience

Join the Team.
We lift economies and communities by advancing the way the world pays, banks and invests.
Since our two companies came together, Worldpay has formed the Merchant Solutions division of FIS. We call it “Worldpay, from FIS”. In the time you’ve taken to read this one sentence, our platforms have processed over 8,000 transactions and this number grows daily. Join us now to realise your own future growth and success.
FIS stays ahead of how the world is evolving to power businesses, across merchants, banking and capital markets, to outpace today’s fast-changing competitive landscape and help our clients run, grow and achieve more for their business.
We want all our people to bring their very best self into work, and that means balancing priorities and passions, at work and at home. We create teams without barriers, fostering creativity and innovation - behaviours that we value in everything we do.",3.3,WorldPay,"London, England","London, United Kingdom",1001 to 5000 employees,1989.0,Company - Public,Financial Transaction Processing,Finance,£1 to £2 billion (GBP),"Global Payments, First Data, Adyen","29000-33000
",29000,33000,31000.0,31.0,0,0,0,0,0,0,1,0,0,Unspesified Analyst,Junior Status
3206,Senior Financial Analyst,"£51K-£65K
(Glassdoor Est.)","Company Overview


At Motorola Solutions, we create technologies our customers refer to as their lifeline. Our technology platforms in communications, software, video and services help our customers work safely and more efficiently. Whether it’s helping firefighters see through smoke, enabling police officers to see around street corners, or reliably keeping the lights on in homes and businesses around the world, our work supports those who put their lives on the line to keep us safe. Bring your passion, potential and talents to Motorola Solutions, and help us usher in a new era in public safety and security.


Department Overview
Financial Planning & Analysis (FP&A) team is responsible for analysis of financial reports, trends, risks and opportunities. We gather, interpret and evaluate financial information, including past financial data and short- to long-term financial forecasts. FP&A department supports wide range of Motorola Solutions businesses and operations functions across International region (EMEA, APAC and LATAM).

Job Description


Your responsibility will include performing analysis of MSI Technologies P&Ls, forecasting, variance analysis and working with regional financial controllers to ensure alignment with P&L plan and forecasts. Analyst on this role will have to quickly understand existing process and work on their improvements and automation.

Responsibilities of the Senior Financial Analyst:
Prepare analysis of P&Ls (revenue and margins) explaining variances to plan, previous forecast and actual results by technology
Work with pre-sales controllers on contribution margin inputs
Calculate gross margins by business segment, by technology and by country
Support creation of the corporate reporting package for all the technologies for International markets
Ensuring Plan and forecasts per technology are loaded to the system and are reasonable
Provide detailed product analysis to various business teams
Support the planned process improvements and automations (cooperation with IT and Tableau team including design stage, testing and verification of the solution in production)

Basic Requirements


Key Qualifications of the Senior Financial Analyst:
Bachelor’s degree in Finance/Accounting
Experience working in Finance / Accounting / Business Support role
Strong analytical and problem solving skills
Ability to work under time pressure
Good communication skills, ability to interact with Finance/Sales ops people at various level
Strong system skills in Excel, Oracle and Essbase are a plus

Travel Requirements

Relocation Provided

Position Type
Referral Payment Plan
Yes

If you are a current Motorola Solutions employee, please click this link to apply through your Workday account.",3.8,Motorola Solutions,"London, England","Chicago, IL",10000+ employees,1928.0,Company - Public,Computer Hardware & Software,Information Technology,£5 to £10 billion (GBP),"Cisco Systems, Huawei Technologies, IBM","51000-65000
",51000,65000,58000.0,92.0,0,0,0,0,0,0,1,0,1,financial analyst,Senior Status
3220,Senior Financial Analyst - EU Softlines Category Excellence,"£34K-£62K
(Glassdoor Est.)","We are looking for a Senior Financial Analyst to join the Amazon Fashion finance team. Amazon Fashion's business is a dynamic and a key strategic focus area for the company. We need bright, talented people to help us fulfill our mission of making Amazon the most-loved fashion destination for our customers

The Senior Financial Analyst will work closely with multiple Pan EU teams within our Category Excellence organization such as Inventory, Management, Planning, Pricing and Promotions to become their trusted finance partner. In this role, you will drive and/or support various financial analyses and monitor operational plans that fuel Amazon's future growth. Expect to get involved in supporting strategic projects and help building plans for the future. You will also help transform and improve current finance and business processes as well as enable better decision making via higher transparency of financial results. The growth of the business and the increasing complexity make this role an exciting, interesting, and very challenging proposition with corresponding exposure to various senior stakeholders at Amazon. The role will be located in our corporate headquarter in London, United Kingdom.


The ideal candidate will be comfortable in in a high energy, entrepreneurial environment; will be a creative and analytical problem solver, who has an eye for details and strong inter-personal skills with the opportunity to fulfill the Amazon motto to ""Work Hard. Have Fun. Make History"".



Basic Qualifications


· A strong academic background; Finance or Accountancy qualification is preferred, an MBA may be considered
· Proven track record in financial planning and analysis and the management of related tasks (e.g. strategic planning, forecasting, reporting, variance analysis, business cases modelling, etc.)
· Advanced Excel essential, with VBA skills preferred
· Highly analytical, advanced problem solving skills, detail oriented without losing the big picture and strong business sense
· The ability to simplify and improve inefficient or unnecessarily complex processes.
· Results-oriented, highly energetic, dynamic individual with hands-on mentality
· Manage and prioritize workload and achieve effective results in a fast-paced, growing and ambiguous environment
· The ability to build positive business relationships and work collaboratively, across pan-EU, based on strong communication (verbal and written) and interpersonal skills.
· An eye for detail and a passion for data & technology

Preferred Qualifications


· Prior knowledge of SQL/ETL would be beneficial, a willingness to learn this essential skill.
· Finance experience from Retail or FMCG companies within an international environment.",3.9,Amazon,"London, England","Seattle, WA",10000+ employees,1994.0,Company - Public,Internet,Information Technology,£5 to £10 billion (GBP),"Google, Microsoft, Walmart","34000-62000
",34000,62000,48000.0,26.0,0,0,0,1,0,0,0,0,1,financial analyst,Senior Status
3233,"Office of the CAO | Reference Data, Project Manager/Business Analyst","£46K-£73K
(Glassdoor Est.)","Job Description

The Team:


We are looking for leaders and problem solvers who are passionate about data and data management.

The purpose of the Project Management/Business Analyst (PM/BA) role within the Reference Data Operations team is to independently evaluate business requirements and recommend solutions in support of a reference data universe that spans Citadel’s global footprint. The role requires effective management of both short term, tactical solutions as well as longer term, multi-quarter strategic initiatives.

A successful candidate will be a proficient PM/BA who communicates and collaborates effectively, taking ownership and accountability for all aspects of each project assigned to them. They will manage requests throughout their life-cycle from business analysis, to prioritization, to collaboration with technical counterparts, through to delivery and business acceptance. The ability to work across a wide range of stakeholders; business and technical, internal and external is central to the role.

Responsibilities:

Reporting to the PM/BA Lead, the PM/BA will evaluate current tactical issues, lead small/mid-size initiatives, and contribute to enterprise-wide strategic initiatives.
Work with front and back office stakeholders across the organization to design and deliver comprehensive reference data solutions across a wide range of asset classes, geographies, and instrument types.
Assist in management front/middle office requests to development teams to ensure concepts are properly evaluated, implemented, and risk assessed.
Evaluate systems for opportunities to automate with focus on highest return on investment.
Help design and implement metrics for tracking product and operational health.
Manage tracks within larger strategic initiatives.
Work with stakeholders within the organization to refine and improve knowledge and processes.
Design and implement processes that facilitate the use and administration of reference data.
Required Skills
5 or more years of professional experience in financial services, particularly reference data or technology
Extensive product knowledge across a broad array of financial products and Instruments
Experience supporting data integration, data governance, data life cycle management, data quality, and data strategy
Strong analytical, quantitative skills
Project Management and Business Analysis experience
Experience in developing metrics (Tableau preferred)
Python, SQL, or similar for data analysis and tool building (preferred)
Education: BA/BS Bachelor’s Degree (STEM degree preferred)

About Citadel


Citadel is a global investment firm built around world-class talent, sound risk management, and innovative leading-edge technology. For a quarter of a century, Citadel’s hedge funds have delivered meaningful and measurable results to top-tier investors around the world, including sovereign wealth funds, public institutions, corporate pensions, endowments and foundations.

With an unparalleled ability to identify and execute on great ideas, Citadel’s team of more than 675 investment professionals, operating from offices including Chicago, New York, San Francisco, London, Hong Kong and Shanghai, deploy capital across all major asset classes, in all major financial markets.",5.0,Citadel,"London, England","Chicago, IL",1001 to 5000 employees,1990.0,Company - Private,Unsure,Unsure,£50 to £100 million (GBP),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group","46000-73000
",46000,73000,59500.0,30.0,0,0,0,1,0,1,1,0,0,business analyst,Senior Status
3244,Senior Finance Analyst,"£49K-£64K
(Glassdoor Est.)","Union Pacific Capital requires a Senior Finance Analyst within our London office. You will be reporting directly to the Finance Manager, managing month-end processes, reconciliations, capital reporting,reporting on variances and presenting to senior management.
This is a senior role in a very fast paced environment. It will suit someone who has worked in a corporate finance business previously.
Key tasks:
Assisting in Month End and reporting activities including Month End Journals, reconciliations and other key tasks
Preparing complex financial analyses and reports for management teams
Preparing analyses, reports, and special studies for management teams
Preparing and consolidating financial data statistical reporting,including financial performance, variance explanations and cost analysis
Coaching and leading less experienced Financial Analysts
Supporting controls and compliance work
Driving improvements and processes forward
Skills and Experience Required:
Accounting knowledge including month end process
Strong analytical and problem-solving skills
Financial reporting skills
Excellent Microsoft Excel skills
Ability to multi- task, be flexible and work under pressure
A corporate finance background or working in a fast-paced environment would be beneficial
Proven experience of hitting deadlines
Excellent communication and interpersonal skills
Required Education, Licenses or Certifications
CIMA or ACCA
Compensation and Benefits
Salary £41,000 - £46,000
Defined contribution pension scheme -
Annual bonus plan (based upon company performance)
Health cash plan - support towards medical, optical and dental costs
Life assurance",3.4356749311294674,Union Pacific Capital,"London, England","London, United Kingdom",Unknown,1543.31633356306,Company - Private,Unsure,Unsure,Unknown / Non-Applicable,Unsure,"49000-64000
",49000,64000,56500.0,476.68366643694003,0,0,0,0,0,0,0,0,1,Unspesified Analyst,Senior Status
3247,HR Analytics Sr Analyst,"£39K-£59K
(Glassdoor Est.)","HR Analytics Sr Analyst

Equinix is one of the fastest growing data center companies, growing connectivity between clients worldwide. That’s why we're always looking for creative and forward thinking people who can help us achieve our goal of global interconnection. With 200 data centers in over 24 countries spanning across 5 continents, we are home to the Cloud, supporting over 1000 Cloud and IT services companies that are directly engaged in technological innovation and development. We are passionate about further evolving the specific areas of software development, software and network architecture, network operations and complex cloud and application solutions.

At Equinix, we make the internet work faster, better, and more reliably. We hire talented people who thrive on solving hard problems and give them opportunities to hone new skills, try new approaches, and grow in new directions. Our culture is at the heart of our success and it’s our authentic, humble, gritty people who create The Magic of Equinix. We share a real passion for winning and put the customer at the center of everything we do.

The HR team is looking for a growth mindset-oriented HR Analytics Senior Analyst to help us build our reporting, data insight and predictive analytics capabilities. This role will work closely with HR Leaders to unlock insights through employee data.

In this role, you will develop data structures, analytics, and data visualizations that enable us to find insights and take action. You will partner with Equinix’s Talent Acquisition, Talent Management, Workforce Planning and Diversity, Inclusion and Belonging Teams.

Equinix is seeing unprecedented growth and the HR team over the next 12-24 months is making significant investments in HR systems and supporting data analytic tools and capabilities. The role is ideal for someone that is a problem solver and problem identifier, who is looking to grow their analytics capabilities. The successful candidate will have strong quantitative skills and can effectively convey complex concepts to non-analytical people.

Responsibilities
Partner closely with Senior Leadership, HR Business Partners, HR colleagues in other functional areas and fellow analytics team members to identify key workforce issues impacting the business.
Use consulting skills to determine and articulate internal customer business questions, develop the best approach for data analysis and turn data into actionable insights & recommendations.
Participate in HR analytics projects to investigate potential measures, correlations and causality connections for critical business issues
Merge structured, semi-structured and unstructured data from several systems to highlight company trends related to recruiting, developing, engaging and retaining talent
Develop hypotheses, document assumptions, and analyze results as they relate to key business initiatives.
Explore and analyze the data creatively to identify HR analytics solutions that add value in the strategic decision-making process.
Prediction and trend analysis to anticipate the changes in the business, and to enable better decision making.
Effectively communicate statistical analyses, results, and implications to technical and non-technical audiences.
Deliver high quality analysis, reports, presentations using simple and effective visualizations that can be scaled for consumption by a larger audience.
Create and maintain monthly and quarterly workforce dashboards. Develop processes to streamline the compilation of periodic reporting/analysis.
Create advanced models in excel to combine data sources and steer business decisions.
Work with HRIS to perform reconciliations and audits of HR data to ensure data integrity.
Qualifications
3+ years of relevant work experience
Excellent verbal and written communication skills; able to influence business stakeholders and drive change
Strong analytical, numerical and IT skills
Previous experience of Workday is advantageous but not essential
Excellent attention to detail
Excellent quantitative skills, including data manipulation, statistical analysis, and visualization
Advanced MS Excel skills
Proficiency in tools such as R and Tableau are a strong plus
Experience in the analytics spaces within the HR function is preferred
Strong business acumen, including understanding of basic business and financial concepts
Possesses natural curiosity and thinks outside the box
Bachelor's degree or equivalent in Statistics, Mathematics, Economics, Finance, Data Science, or relevant engineering discipline preferred
Equinix is an equal opportunity employer. All applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, or status as a qualified individual with disability.",3.9,Equinix,"London, England","Redwood City, CA",5001 to 10000 employees,1998.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,£5 to £10 billion (GBP),Unsure,"39000-59000
",39000,59000,49000.0,22.0,0,0,0,0,0,0,0,1,1,Unspesified Analyst,Junior Status
3288,Senior Financial Analyst - EU Softlines Category Excellence,"£34K-£62K
(Glassdoor Est.)","We are looking for a Senior Financial Analyst to join the Amazon Fashion finance team. Amazon Fashion's business is a dynamic and a key strategic focus area for the company. We need bright, talented people to help us fulfill our mission of making Amazon the most-loved fashion destination for our customers

The Senior Financial Analyst will work closely with multiple Pan EU teams within our Category Excellence organization such as Inventory, Management, Planning, Pricing and Promotions to become their trusted finance partner. In this role, you will drive and/or support various financial analyses and monitor operational plans that fuel Amazon's future growth. Expect to get involved in supporting strategic projects and help building plans for the future. You will also help transform and improve current finance and business processes as well as enable better decision making via higher transparency of financial results. The growth of the business and the increasing complexity make this role an exciting, interesting, and very challenging proposition with corresponding exposure to various senior stakeholders at Amazon. The role will be located in our corporate headquarter in London, United Kingdom.


The ideal candidate will be comfortable in in a high energy, entrepreneurial environment; will be a creative and analytical problem solver, who has an eye for details and strong inter-personal skills with the opportunity to fulfill the Amazon motto to ""Work Hard. Have Fun. Make History"".



Basic Qualifications


· A strong academic background; Finance or Accountancy qualification is preferred, an MBA may be considered
· Proven track record in financial planning and analysis and the management of related tasks (e.g. strategic planning, forecasting, reporting, variance analysis, business cases modelling, etc.)
· Advanced Excel essential, with VBA skills preferred
· Highly analytical, advanced problem solving skills, detail oriented without losing the big picture and strong business sense
· The ability to simplify and improve inefficient or unnecessarily complex processes.
· Results-oriented, highly energetic, dynamic individual with hands-on mentality
· Manage and prioritize workload and achieve effective results in a fast-paced, growing and ambiguous environment
· The ability to build positive business relationships and work collaboratively, across pan-EU, based on strong communication (verbal and written) and interpersonal skills.
· An eye for detail and a passion for data & technology

Preferred Qualifications


· Prior knowledge of SQL/ETL would be beneficial, a willingness to learn this essential skill.
· Finance experience from Retail or FMCG companies within an international environment.",3.9,Amazon,"London, England","Seattle, WA",10000+ employees,1994.0,Company - Public,Internet,Information Technology,£5 to £10 billion (GBP),"Google, Microsoft, Walmart","34000-62000
",34000,62000,48000.0,26.0,0,0,0,1,0,0,0,0,1,financial analyst,Senior Status
3293,"Business Analyst, UK","£33K-£35K
(Glassdoor Est.)","We are currently seeking a self-motivated research analyst to join our growing team. In your role as a Business Analyst you will be working with team member on topics of wide variety and significance to our pharma clients working at global headquarters. You will be expected to help with smooth running of current projects, contact external sources such as a range of industry stakeholders and key opinion leaders (KOLs) through telephone research and attendance of international medical congresses. As you move from one project to the next, you will be expected to quickly get up to speed with a new therapy area.

Overall scope of role:
Integral and key member of client engagement team, committed to developing and delivering executable project outcomes to meet specific objectives of our global clients. Working proactively and collaboratively with numerous stakeholders, to ensure smooth running and delivery of multiple projects.

Key Accountabilities:
Conducting primary and secondary research using the most appropriate sources
Analysing and interpreting research findings that uncover and generate insights aligned with the overall brief and client objectives
Working with team subject experts to develop different perspectives and substantive insights
Partnering and overseeing sub-contractors and project work streams
Creating and presenting accurate, insightful, impactful and persuasive reports and presentations to clients
Creating and maintaining project timetables, project plans, quality control practices and procedures to support agreed deliverables
Key Skills/Personal Qualities:
Technical Skills:
PharmD/PhD in a lifescience subject from a leading university, or a Masters plus 1-2 years of relevant experience in biopharma, healthcare or consulting
Strong research and analytical skills with an ability to conceptualise analysis into processes and frameworks
Advanced skills in PowerPoint, Excel and Word
Foreign language skills are preferred
Behavioural Skills:
Strong communication skills – good listener and observer with the ability to communicate effectively and succinctly, verbally and in writing to any audience
Dependable and able to work to own initiative with minimum direction
Curious and critical thinker – passionate about learning new things and striving to do things better
Ability to multi-task and deliver high quality outputs under time-pressured deadlines
Team player – able to work collaboratively and effectively across culturally diverse teams and build credible and strong professional relationships
Excellent attention to detail
Drive and ambition to progress and grow personal capability",4.4,Lifescience Dynamics,"London, England","London, United Kingdom",51 to 200 employees,2004.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Unsure,"33000-35000
",33000,35000,34000.0,16.0,0,0,0,0,0,0,0,1,1,business analyst,Junior Status
3315,"Office of the CAO | Reference Data, Project Manager/Business Analyst","£46K-£73K
(Glassdoor Est.)","Job Description

The Team:


We are looking for leaders and problem solvers who are passionate about data and data management.

The purpose of the Project Management/Business Analyst (PM/BA) role within the Reference Data Operations team is to independently evaluate business requirements and recommend solutions in support of a reference data universe that spans Citadel’s global footprint. The role requires effective management of both short term, tactical solutions as well as longer term, multi-quarter strategic initiatives.

A successful candidate will be a proficient PM/BA who communicates and collaborates effectively, taking ownership and accountability for all aspects of each project assigned to them. They will manage requests throughout their life-cycle from business analysis, to prioritization, to collaboration with technical counterparts, through to delivery and business acceptance. The ability to work across a wide range of stakeholders; business and technical, internal and external is central to the role.

Responsibilities:

Reporting to the PM/BA Lead, the PM/BA will evaluate current tactical issues, lead small/mid-size initiatives, and contribute to enterprise-wide strategic initiatives.
Work with front and back office stakeholders across the organization to design and deliver comprehensive reference data solutions across a wide range of asset classes, geographies, and instrument types.
Assist in management front/middle office requests to development teams to ensure concepts are properly evaluated, implemented, and risk assessed.
Evaluate systems for opportunities to automate with focus on highest return on investment.
Help design and implement metrics for tracking product and operational health.
Manage tracks within larger strategic initiatives.
Work with stakeholders within the organization to refine and improve knowledge and processes.
Design and implement processes that facilitate the use and administration of reference data.
Required Skills
5 or more years of professional experience in financial services, particularly reference data or technology
Extensive product knowledge across a broad array of financial products and Instruments
Experience supporting data integration, data governance, data life cycle management, data quality, and data strategy
Strong analytical, quantitative skills
Project Management and Business Analysis experience
Experience in developing metrics (Tableau preferred)
Python, SQL, or similar for data analysis and tool building (preferred)
Education: BA/BS Bachelor’s Degree (STEM degree preferred)

About Citadel


Citadel is a global investment firm built around world-class talent, sound risk management, and innovative leading-edge technology. For a quarter of a century, Citadel’s hedge funds have delivered meaningful and measurable results to top-tier investors around the world, including sovereign wealth funds, public institutions, corporate pensions, endowments and foundations.

With an unparalleled ability to identify and execute on great ideas, Citadel’s team of more than 675 investment professionals, operating from offices including Chicago, New York, San Francisco, London, Hong Kong and Shanghai, deploy capital across all major asset classes, in all major financial markets.",5.0,Citadel,"London, England","Chicago, IL",1001 to 5000 employees,1990.0,Company - Private,Unsure,Unsure,£50 to £100 million (GBP),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group","46000-73000
",46000,73000,59500.0,30.0,0,0,0,1,0,1,1,0,0,business analyst,Senior Status
3352,Senior Finance Analyst,"£49K-£64K
(Glassdoor Est.)","Union Pacific Capital requires a Senior Finance Analyst within our London office. You will be reporting directly to the Finance Manager, managing month-end processes, reconciliations, capital reporting,reporting on variances and presenting to senior management.
This is a senior role in a very fast paced environment. It will suit someone who has worked in a corporate finance business previously.
Key tasks:
Assisting in Month End and reporting activities including Month End Journals, reconciliations and other key tasks
Preparing complex financial analyses and reports for management teams
Preparing analyses, reports, and special studies for management teams
Preparing and consolidating financial data statistical reporting,including financial performance, variance explanations and cost analysis
Coaching and leading less experienced Financial Analysts
Supporting controls and compliance work
Driving improvements and processes forward
Skills and Experience Required:
Accounting knowledge including month end process
Strong analytical and problem-solving skills
Financial reporting skills
Excellent Microsoft Excel skills
Ability to multi- task, be flexible and work under pressure
A corporate finance background or working in a fast-paced environment would be beneficial
Proven experience of hitting deadlines
Excellent communication and interpersonal skills
Required Education, Licenses or Certifications
CIMA or ACCA
Compensation and Benefits
Salary £41,000 - £46,000
Defined contribution pension scheme -
Annual bonus plan (based upon company performance)
Health cash plan - support towards medical, optical and dental costs
Life assurance",3.4356749311294674,Union Pacific Capital,"London, England","London, United Kingdom",Unknown,1543.31633356306,Company - Private,Unsure,Unsure,Unknown / Non-Applicable,Unsure,"49000-64000
",49000,64000,56500.0,476.68366643694003,0,0,0,0,0,0,0,0,1,Unspesified Analyst,Senior Status
